Nickname,Parsed Class,DPS Values,Percentage Difference,Item Name,Item ID,Item Level
KITAKITSUNÉ,Shaman,"[214348, 210611]",1.77,Neltharion's Call to Dominance,204202,470
MOONSHINECAT,Druid,"[114681, 108346]",5.85,Springrain Idol of Rage,119502,500
